City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,touros,-5.1989,-35.4608,28.3,64,82,5.58,BR,1698343876
83,la passe,45.5549,-0.8967,14.43,84,100,9.08,FR,1698344119
84,xining,36.6167,101.7667,6.65,70,53,0.23,CN,1698344120
85,hamilton,39.1834,-84.5333,25.43,59,75,8.75,US,1698343920
86,tres arroyos,-38.3739,-60.2798,27.39,23,3,7.85,AR,1698344121
87,tara,56.8944,74.371,-5.1,85,44,5.61,RU,1698344121
88,punta arenas,-53.15,-70.9167,8.06,39,0,7.2,CL,1698344122
89,waitangi,-43.9535,-176.5597,14.34,90,44,3.13,NZ,1698344123
90,atafu village,-8.5421,-172.5159,28.35,78,100,6.49,TK,1698344123
91,port alfred,-33.5906,26.891,20.71,87,91,6.51,ZA,1698344124
92,palikir - national government center,6.9248,158.1611,27.77,75,96,1.41,FM,1698344124
93,yakeshi,49.2833,120.7333,-2.78,44,55,1.74,CN,1698344126
94,bilibino,68.0546,166.4372,-16.65,99,96,1.3,RU,1698344127
95,pindare mirim,-3.6083,-45.3433,36.33,33,39,3.34,BR,1698344128
96,wailua homesteads,22.0669,-159.378,24.24,81,0,2.06,US,1698344128
97,st ives,50.2086,-5.4875,12.18,85,72,6.6,GB,1698344129
98,floro,61.5996,5.0328,5.98,70,0,3.09,NO,1698344130
99,blackmans bay,-43.0167,147.3167,7.07,81,96,2.9,AU,1698344130
100,akdagmadeni,39.6603,35.8836,15.41,44,100,2.81,TR,1698344131
101,kpandae,8.4689,-0.0113,29.98,53,68,1.49,GH,1698344132
102,minas de marcona,-15.2119,-75.1103,19.92,62,76,4.83,PE,1698344132
103,codrington,-38.2667,141.9667,7.07,82,24,3.53,AU,1698344133
104,richards bay,-28.783,32.0377,20.76,82,3,5.78,ZA,1698344133
105,carnarvon,-24.8667,113.6333,20.14,82,12,12.21,AU,1698344134
106,severobaykal'sk,55.65,109.3167,1.95,87,90,1.32,RU,1698344135
107,kutum,14.2,24.6667,28.11,22,16,3.24,SD,1698344136
108,laascaanood,8.4774,47.3597,25.85,66,91,5.75,SO,1698344137
109,alice springs,-23.7,133.8833,6.75,33,0,0.51,AU,1698344138
110,afaahiti,-17.75,-149.2833,25.93,83,100,2.9,PF,1698344139
111,st. john's,47.5649,-52.7093,12.38,92,100,3.6,CA,1698344107
112,anadyr,64.75,177.4833,0.28,100,75,3.0,RU,1698344140
113,acarau,-2.8856,-40.12,30.0,57,82,7.63,BR,1698344086
114,albany,42.6001,-73.9662,24.74,47,70,1.36,US,1698344143
115,fort bragg,35.139,-79.006,27.68,57,26,1.79,US,1698344144
